"longitude","latitude"
2646134.09910206,1072098.68759058
2720637.50980474,1096659.12336346
2617927.24300183,1149208.51986928
2645934.08631623,1163824.397538
2548389.21097097,1115852.35414091
2764587.62726298,1209111.65304035
2796192.15540348,1268989.46425942
2611082.20652919,1170578.25244832
2743786.36272652,1097455.41301013
2561938.46039197,1098346.16770795
2543184.50161815,1104704.23851442
2508170.09321693,1075510.002528
2731929.32137396,1223594.60610117
2536777.78219464,1082508.21933618
2758764.88547106,1168691.18304438
2621850.99948911,1067853.19260288
2720063.58101583,1118871.41912522
2642117.66513042,1131298.01777544
2615611.55324263,1077971.11191922
2704288.13581627,1175393.15888183
2665991.53982906,1211517.15738362
2673644.68964891,1185852.48967045
2497631.74672108,1121529.95124951
2820310.25421257,1249075.24026714
2568257.10854541,1128049.16692165
2727792.97256562,1075256.71111026
2809930.1916503,1156551.14751712
2547220.89387191,1076910.4666583
2705136.07169093,1079665.25170293
2683201.46877646,1222431.33544129
2704423.13677262,1111368.03030613
2781896.70626215,1081888.02662927
2716979.15918486,1095981.82740372
2623219.65126354,1093170.46037747
2700768.97939564,1226031.07464285
2635784.74832423,1161873.93710195
2822802.97561453,1203450.85839057
2645113.36253956,1168717.09118727
2557715.79660373,1087519.7166172
2500626.48253405,1118291.1936513
2738139.07101705,1155698.82951792
2679486.84437024,1212080.3702161
2557217.14202674,1080866.70476091
2636290.56678785,1157626.12720382
2586678.37542422,1163454.53396839
2574026.7820952,1138369.77060794
2733486.90589308,1165002.07958409
2644780.57401359,1163624.15344147
2660137.9476498,1184183.67017093
2546255.92586776,1111426.25264456
2538896.37665098,1111222.63567191
2576661.18195367,1133780.70780388
2593858.12165589,1119597.15415901
2678818.7191447,1081557.57618242
2624270.18208637,1097038.43019268
2640134.59249813,1159447.66549225
2761888.77501235,1113851.61190333
2827903.66995423,1155932.36556685
2552560.25006632,1113391.68396818
2538235.21699816,1125712.08423693
2558724.17996938,1077049.63677346
2540623.35517266,1111947.50704786
2743177.46726082,1098881.70548834
2704520.3287147,1157974.13908507
2641898.09744915,1155280.082437
2804719.80509377,1231965.49285798
2617480.28487396,1148244.84807475
2645653.39817585,1178195.4319645
2662683.71247731,1202611.01470321
2711362.14464505,1091677.33902707
2631822.16031521,1170572.36413459
2786503.07077213,1143014.55782616
2549721.4182447,1147301.7612537
2572807.76398208,1146350.898998
2628738.22746907,1079616.84040598
2540738.87869648,1077525.81663479
2780562.19670681,1189560.690723
2794535.76780337,1115366.31199876
2542383.4286363,1111016.8824918
2679538.75343558,1212221.93119762
2832055.61444577,1157892.86604943
2534819.14939325,1100048.0776646
2566449.62553817,1135088.81789657
2778346.04231719,1260248.51571792
2763871.48619965,1219868.79334348
2571965.48106579,1116489.78967282
2756232.28541781,1215844.90327911
2769581.50462544,1120241.85636727
2632185.17840248,1084542.11901683
2757623.88366823,1223600.1074141
2665997.82173584,1211485.09597374
2640424.42728519,1173460.11245192
2575965.06835763,1133804.79241326
2567675.77226445,1102772.35406085
2642753.71749591,1110963.3673715
2563771.57629477,1151651.24864142
2523477.21074549,1091074.54549297
2641903.17464789,1155322.02820794
2641047.73069877,1158327.90921945
2623331.49735332,1171120.8379478
2560705.34395299,1140450.26691334
2727072.11961522,1075041.60371094
2540840.01535964,1129821.08824553
2778249.06158338,1144630.79292624
2636145.43776148,1159476.97679155
2547047.42821465,1115522.11346881
2544042.2247593,1112947.13051586
2702106.34718774,1170840.70014474
2555777.86536312,1085711.98269629
2542898.17241218,1137998.37766801
2679168.75375591,1198557.81214088
2716919.27344827,1092835.28218526
2662662.3937813,1133030.79696704
2716916.4831789,1092831.22575024
2679826.00946102,1211594.80761287
2727519.02688934,1078400.87686187
2554361.43750406,1081365.18841529
2524267.32095457,1116827.82673025
2744237.79595043,1083841.25090499
2656371.10604086,1248767.17937849
2641758.91205764,1155276.44785746
2744299.97526058,1144846.72987947
2778832.17910712,1153080.85879438
2783945.88936118,1182863.53362751
2823915.39702814,1143537.68759785
2740621.28663588,1093679.45715861
2806319.15595974,1224336.60702498
2519927.61859584,1082960.08279245
2632243.97115889,1170577.83572762
2549050.69423957,1083026.73690974
2819661.44948626,1256153.39198082
2641610.48608692,1155278.08873656
2641719.85439217,1155334.31822333
2835137.35834727,1190873.3664141
2619248.00042103,1170482.96455818
2799038.33452697,1203977.87993179
2626658.1696608,1092448.71127813
2746682.48626839,1250786.13121539
2620780.06580807,1093300.94739226
2599976.81839253,1175607.68277191
2826080.38107838,1161576.48113204
2555893.37046011,1085869.00606992
2781453.31579944,1127968.33337793
2632524.92650262,1170741.09933661
2719037.48189228,1098483.0702039
2618711.84218296,1149740.82640274
2636995.35348075,1161610.45138216
2805061.5675299,1128100.13440321
2538733.92291041,1074614.5355247
2796072.19506139,1256127.69778514
2784642.79443852,1086995.1298561
2629954.14533773,1168904.80608036
2626706.38742939,1092445.69859154
2740238.23845071,1109081.72337916
2632362.77301081,1170465.6382509
2572776.73592102,1159288.06286122
2628253.02564331,1275382.57703638
2787681.26037364,1116181.32809577
2707926.84773597,1124019.00161609
2686261.73422592,1184105.76840836
2557155.35209003,1081001.54706325
2707874.11274844,1123819.26596097
2773373.28202815,1128217.67892622
2747421.02705349,1075198.74501771
2557198.74705614,1083611.55486569
2745789.47421745,1086221.20519305
2624501.41535012,1095576.60573582
2583948.37637953,1105940.88856431
2776897.15145974,1166530.67032536
2559421.0094268,1142333.52342198
2678158.14831489,1081418.87516
2834762.42139927,1276206.55028814
2559410.50583503,1142234.98853111
2615248.54780253,1090844.57932004
2679369.81229188,1207025.79851785
2634023.077117,1156988.57508783
2629886.72069073,1125322.49976546
2781579.78582817,1184981.4483448
2735732.87126044,1145860.93385574
2649260.05499897,1164213.35802777
2654714.6434808,1182807.06952644
2663608.06595883,1148318.17193334
2602226.92570216,1141968.24015028
2841961.12599657,1077431.95953206
2688698.8743147,1125076.965856
2559850.92232158,1143036.99790512
2804660.89510768,1139932.92773354
2813389.28260536,1225531.4634299
2545284.56079897,1150182.11364018
2624151.14071652,1096456.54775827
2642437.1195486,1155370.90079017
2646390.10936794,1167020.57761685
2841536.54693712,1128316.28747244
2684926.12036517,1082363.44556387
2796027.23495347,1169399.15152704
2771145.31397994,1184799.84883386
2789114.04417297,1153714.59054443
2814708.66539381,1223253.21824055
2653317.12194614,1139022.4145107
2839402.66800099,1214844.84297917
2746902.46532796,1288747.39370439
2842494.59563821,1128085.7562265
2804978.61981397,1230484.4296129
2809250.38089393,1205454.19413943
2585053.91590984,1107472.59318736
2633213.17934118,1070848.5377664
2557057.23870181,1080324.97952701
2661911.76108273,1203358.18989065
2534389.21847626,1084893.22794329
2634795.55098267,1155137.82385055
2734521.57642033,1182029.50880882
2558239.82028337,1070630.14714624
2637059.5249912,1161665.8744043
2742677.93112458,1072315.31948896
2757560.00000155,1276023.84874196
2751845.73096813,1212988.81272687
2758002.05802816,1222968.87873153
2641757.2906445,1155277.99297297
2557270.16758321,1091623.81690525
2617073.43404452,1091670.05539794
2555855.02504974,1086058.60971466
2557661.1444016,1092357.46841827
2666189.31062422,1211766.05698961
2798323.54554092,1143608.96591279
2817170.56090277,1211378.15669798
2656382.40054252,1153019.23177092
2564519.18112275,1141990.57598275
2564198.70585092,1073124.13020958
2528630.92106206,1152849.38124077
2748058.32811673,1101811.21193781
2758027.54983784,1223726.03623999
2678387.27204212,1211258.84949954
2753342.56259677,1132941.1403178
2635156.71836359,1156849.12149055
2679279.42327649,1245196.48246896
2741165.17055685,1094427.85769334
2632036.80438788,1170648.76517376
2606762.1295929,1109653.10169397
2685892.13129438,1157208.46944119
2616391.01304915,1166113.43035178
2634267.3210243,1158425.68858523
2626655.37779398,1092449.1437357
2545630.49268902,1148613.59096411
2787166.18025749,1245338.55238885
2622649.75824367,1150694.77669706
2704657.41724666,1228819.58812747
2557159.83667391,1080987.84128965
2684360.79189362,1083396.22890679
2742765.48340576,1097071.71829351
2813779.70488678,1266357.04507756
2559772.66230978,1086749.77440086
2559488.1162122,1086679.29454069
2649098.00425511,1164399.90979545
2572185.01259705,1105009.31719995
2805685.62505052,1154025.40777918
2555407.34561961,1075854.93607134
2818464.60983681,1169344.41937871
2624616.81773444,1093087.4551913
2680285.98152037,1211036.50806472
2808549.10950417,1159411.1524244
2606823.03727863,1127824.97189558
2680671.10036297,1195121.97921452
2752063.46539866,1132311.31713896
2717531.84228186,1090252.40362956
2804196.74154076,1090748.51939368
2740048.99103718,1087568.30454472
2616817.42135326,1091642.88636048
2653808.05217684,1180755.95733886
2627427.95141499,1074709.39561555
2709719.45429226,1097866.51607318
2832044.4690058,1157994.67260358
2780664.3480282,1141984.40432109
2751866.92138489,1085069.78507282
2620268.6317411,1169641.88720545
2571991.11760555,1081994.81902588
2716380.58139411,1095033.0213228
2616061.18137463,1079420.82070881
2644333.10857451,1150889.01433564
2641773.2863257,1155216.62781874
2755964.92627557,1091787.0853854
2814742.91750605,1272429.75642298
2575984.66108873,1153726.91149735
2733129.12848683,1223081.00093183
2557156.10532443,1170875.76594551
2582574.04085041,1103175.08670413
2549683.54788322,1147796.55861438
2722841.64156594,1116446.99593428
2718391.68519704,1134677.09669936
2664041.22671128,1180554.03252006
2631733.09557111,1170444.71678678
2495697.96104282,1150871.19358644
2646005.78368963,1165074.71272127
2632974.47955567,1168391.7824461
2561940.94874333,1091562.02715593
2666383.99675802,1150975.10530822
2672646.70188207,1158992.96025978
2558668.16329392,1082337.3574975
2733407.54339957,1164284.23113161
2525397.39354101,1085756.86404929
