"","id","latitude","longitude"
"1",NA,NA,NA
"2",25931502530,45.798984,8.031949
"3",4104579552,46.010711,8.996182
"4",2059037735,46.493953,7.672147
"6",7397044214,46.624094,8.038387
"7",5218122169,46.192147,6.770122
"8",19015238889,47.012622,9.60343
"11",383922611,47.5423,10.045
"12",3977903506,46.686333,7.5835
"13",42401392832,46.013341,9.295195
"19",371784230,46.035577,6.947047
"26",95859515,46.091448,6.704063
"27",96951830,45.825,6.2571
"28",9526948686,47.150165,9.178261
"29",98670920,45.891225,6.624219
"30",4248558412,46.650574,9.512827
"31",6132264827,45.762011,7.719471
"32",4106077889,46.210586,8.994461
"33",97320034,46.331758,7.985601
"34",2081600015,45.853195,7.639617
"35",309929415,46.721586,8.802816
"36",2701347381,47.0514,8.307144
"37",113425991,46.819753,8.403704
"38",109210469,46.2374,6.1115
"39",4046756211,47.355667,10.355291
"41",2408160574,46.303096,7.026636
"42",110125469,45.816915,9.082748
"43",704385415,46.527306,10.175271
"44",4900177413,45.84177,6.759366
"50",4250498997,45.860458,8.792302
"51",4184605850,47.147626,8.535625
"52",4178947588,46.145707,8.790156
"53",8158874907,45.86418,9.781008
"54",4193260319,46.005263,8.948793
"56",6620472693,45.9897,7.7383
"59",4300650464,47.177558,8.768013
"60",8115636415,46.607169,7.905722
"61",12349681515,46.944736,10.365733
"63",4016244947,46.668161,8.028151
"64",134739268,45.937939,6.893483
"65",7609869900,46.208719,6.151008
"66",4101996116,46.538318,9.239566
"67",1870229483,47.054985,8.484835
"69",14197091947,45.878063,6.887658
"70",4028113157,46.568931,7.91199
"71",8124332684,46.622208,7.264709
"72",429782470,46.396184,7.100944
"74",4021967102,46.62293,9.18163
"75",4039248142,46.622371,8.023307
"76",4046676761,46.806099,8.2265
"77",8606159411,46.152166,6.743
"78",4029266082,46.149706,6.647773
"79",4040323928,46.355,7.135427
"80",8125259449,46.22779,7.359037
"81",4106343920,45.881052,8.453819
"82",789038771,46.024457,7.752056
"83",8145815539,46.585097,7.962286
"84",4047143484,46.156685,9.534482
"85",4042834969,46.515863,10.409052
"86",172208082,46.17032,6.824398
"87",30891133382,46.27998,6.637297
"92",2745952657,45.843822,6.9074
"93",221396476,46.156381,6.670032
"94",2103533980,46.026297,9.28777
"95",175638368,46.56488,8.801894
"96",4146953497,46.5475,7.984916
"97",7005437421,47.206894,10.14126
"103",266870221,46.485296,7.666289
"105",2946631541,46.753384,8.03615
"106",8705765261,46.971614,8.262383
"111",8161920226,45.967498,8.875279
"113",24310260000,46.685615,7.854602
"117",24397777435,46.412535,9.864628
"118",4392660909,46.475145,6.783971
"119",8473106143,46.46793,7.084625
"123",11749710814,45.86757,7.808693
"125",4040456102,45.846768,6.675868
"126",12157132426,46.83268,9.805662
"127",4104899461,46.161667,9.9575
"128",219104983,46.148163,6.692929
"132",201018870,47.056252,8.485543
"133",6905304628,46.532059,10.464099
"134",1030437783,46.048808,6.59656
"135",204949902,46.366333,7.002667
"138",4139455584,47.468811,9.804568
"139",4139426819,47.109523,9.597909
"140",222337111,46.199279,7.075465
"142",4144442610,47.075188,9.495907
"144",4146806730,46.212254,9.63634
"148",3777696668,45.911719,7.853411
"149",9780674125,47.144591,9.516928
"150",2247673314,47.051111,8.307222
"151",4166586612,46.711126,7.967298
"152",3182159801,46.355192,7.126382
"153",244884840,46.075692,7.020843
"154",4814731936,46.1488,7.992
"157",13902115478,46.51518,6.966569
"159",4338984916,45.966901,6.451506
"160",8241128615,46.547877,7.984986
"161",4324313321,46.574969,7.9741
"164",4297683558,46.690899,7.743645
"165",492725691,46.414249,6.927569
"172",2212530550,45.815116,9.073419
"173",640362004,46.317176,6.670567
"185",8466746845,46.429313,9.757947
"186",4237491277,46.585588,7.910242
"187",4293813573,46.189072,6.75278
"188",8309424437,46.165666,6.714166
"189",5561824225,46.680978,8.773269
"190",5377903977,45.921554,6.868668
"191",5001493003,46.390911,6.69628
"192",4242690540,46.933397,8.478291
"193",8171137509,45.976974,8.947239
"194",239093475,46.345743,8.252621
"195",8193508647,45.976938,8.947202
"196",4245404310,47.050577,8.489213
"197",9380498201,45.845243,9.080071
"198",11543812916,45.88236,6.850833
"199",4264949837,46.198636,6.457536
"200",8074790655,45.890814,9.296858
"201",8209952970,47.387323,8.1852
"202",256550745,46.547476,7.983101
"208",5388671334,46.439424,9.31647
"210",4279400795,46.505138,9.768795
"212",4277991909,46.771538,9.847297
"213",6859667664,46.405788,10.351123
"220",154391063,45.98005,9.253215
"221",2137287347,47.137818,10.158866
"222",2914040563,45.893503,6.4071
"223",4040234078,46.685644,7.860116
"225",8091570562,45.896926,6.782255
