"longitude","latitude"
2731248.77913095,1279437.6978482
2508932.76424714,1142187.7555084
2608157.5921395,1258070.83416154
2632671.54922991,1172865.83689887
2660845.78572738,1262526.07734009
2577872.54705924,1129202.95787808
2704430.12239535,1157763.5493693
2666636.32178208,1211405.89850278
2508066.0697158,1137478.77234572
2666061.43994106,1211573.4808992
2504061.13333393,1131565.21255455
2599668.65436752,1199794.48503269
2607525.09881045,1228640.13849158
2736974.95709384,1191919.75068429
2662066.41344728,1203479.31071963
2499942.21599165,1146036.21038366
2813156.66303299,1168889.61095786
2554788.74168802,1188814.15612844
2645996.19948642,1266404.08183952
2610971.24354708,1264504.38875883
2791540.14081542,1180937.29856879
2562158.63204444,1189872.2648218
2554423.89782033,1145364.29348445
2500635.75532868,1118371.64705966
2683330.26193555,1246753.91355659
2676312.34229183,1180587.96632408
2637976.9035103,1106685.40605573
2500208.70324341,1120874.12794346
2500762.45471393,1118303.19124562
2614995.81743878,1129492.77873335
2616095.94561737,1263648.25101219
2645364.52517024,1163908.89865283
2746316.04218812,1256309.69856226
2538556.25411095,1154337.19221754
2637010.81988688,1161686.91897142
2685941.71040376,1147392.273582
2500704.17569086,1118450.86927248
2784259.06254821,1152395.75423907
2662546.02958173,1203448.18188626
2666214.64451304,1211694.84964095
2788218.87517101,1149540.7171834
2562056.70624244,1204649.28773361
2612734.69271089,1179721.18315261
2500244.32949185,1117894.12420466
2676473.03429125,1261494.32612506
2700054.40981941,1287584.91950231
2515255.52469429,1157373.1059346
2572995.02015101,1108803.32113312
2490806.46188609,1112185.26276045
2644704.73006895,1176069.37860583
2650422.62677513,1141187.13202891
2680316.50339363,1249985.81585173
2682712.6491229,1247671.23870244
2758518.54181882,1256575.72344158
2561571.94882944,1204563.13715582
2574934.39751505,1245939.05130672
2662097.69569609,1203478.41296033
2714290.03283308,1093336.76862467
2711161.03047128,1102274.90478578
2714843.59380586,1179536.01887648
2634605.84774874,1157283.21120552
2682477.05313587,1249160.47417598
2730897.57290282,1279968.39121151
2642382.75676028,1129592.92430418
2600615.77830247,1199932.05056996
2777287.77757413,1132865.77700368
2683786.9033942,1284159.3726129
2500012.73455945,1117820.09002139
2666262.14677537,1211494.43473453
2640295.6009465,1169189.46057474
2662044.95604029,1203542.79235785
2679611.42519907,1250526.0040376
2780542.59531871,1139915.94962754
2683303.46159254,1247924.13183504
2559312.24082483,1142415.58406571
2634847.34109224,1171209.93763094
2722898.46837683,1219115.77155786
2566030.73669948,1208391.97034308
2563251.73691555,1205594.25040405
2562845.69588651,1205575.68082239
2565159.37646939,1206786.94110783
2554324.74146001,1222108.62785288
2571773.60392777,1138162.0961658
2568367.59184465,1132365.83410129
2566142.13446218,1130643.90956803
2566147.74278097,1130642.5455953
2565557.71403087,1131201.08493542
2568367.50916001,1132337.80670352
2709529.50589021,1096435.81161125
2683424.21537275,1247888.66704504
2714098.69529768,1113985.26924166
2637968.8359186,1106518.96979196
2657151.73123795,1220166.09922751
2500012.73455945,1117820.09002139
2626275.59706798,1092861.2997218
2634460.89820151,1172208.70989109
2566322.0345893,1132258.09418189
2505411.95197425,1118044.92692142
2500321.878724,1118086.55875966
2643854.9067733,1160944.53337105
2595598.10097393,1201326.99780939
2685766.79676526,1249086.34684271
2677912.4783572,1250143.48379984
2638466.93665476,1146518.2722863
2565916.70545128,1131809.51340913
2559288.32350228,1142702.73195219
2604039.77929841,1129353.32825352
2712609.41509915,1089778.88702985
2663754.8857967,1209552.81294849
2490525.56101976,1115468.07406268
2611205.55503823,1267465.50363122
2698617.57702484,1262949.38614131
2604381.87940155,1201057.74224045
2567156.57251687,1132553.69627411
2562865.94508937,1205581.37204994
2613056.44419251,1178687.69414572
2564817.66902848,1135481.96019795
2560025.0776914,1142146.45970918
2694125.56268013,1231176.68934545
2675665.20312727,1238712.66659735
2595270.25814031,1243627.84490757
2693959.41569204,1230367.79474942
2634864.10815994,1156070.12837093
2667827.10009124,1211912.89038949
2597281.76940525,1183716.21582274
2500901.92645709,1117840.39431851
2617878.8483848,1148343.72857359
2681958.63129415,1245846.65799961
2582133.96195445,1133695.00053186
2649427.96115517,1168562.66187314
2683080.85010029,1247790.60158405
2788898.00752737,1151018.08836686
2594488.03826303,1200866.06844552
2702868.21272128,1112118.93443411
2718662.07953465,1093900.92739209
2683138.89044839,1268830.98298082
2636540.77189772,1161041.34105119
2500050.96981904,1116425.73475134
2499877.7289183,1118499.54243678
2501473.15434003,1118386.22576943
2666454.05720743,1211573.43165744
2648437.80072403,1219817.28701428
2500645.64203227,1118012.83290274
2563356.22542337,1212021.98884368
2632475.76102084,1159700.70727592
2559965.0406755,1137698.43221766
2519692.50447568,1155957.0960563
2611165.6280671,1127444.27177091
2634170.14913473,1171559.80862335
2616418.02214494,1231769.22417886
2560228.38031956,1138289.97413088
2659365.88641658,1271969.95831579
2623896.64995104,1087835.06412179
2635142.95325999,1157079.33599543
2502204.61340508,1132967.24080167
2666148.85299289,1211727.97372572
2500701.18621433,1117756.0263536
2618404.31038418,1151538.17622068
2488509.70029431,1118299.15767344
2658211.32071539,1259816.70986283
2670740.92471612,1213835.91090323
2497564.92374979,1120835.31096651
2635912.50379129,1159928.13961542
2701413.1225303,1246777.27039977
